username;currency;bet_amount
10638732;AZN;2
10657434;KZT;750
10665342;AZN;3
10663152;EUR;7
10666608;KZT;400
10665226;EUR;10
3869743;UZS;60000
7157702;UZS;5000
6033560;BDT;350
10610846;EUR;18
10652470;EUR;18
10657644;KZT;400
10662942;EUR;4
10664108;AZN;5
10665160;KZT;1250
10665254;EUR;20
10665468;EUR;18
10665552;EUR;10
10666186;BDT;100
10669428;KZT;400
8363684;AZN;6
10664848;AZN;7
10666328;KZT;400
10666624;KZT;400
10667708;EUR;18
10668568;AZN;2
9417608;AZN;3
10666600;AZN;5
10667030;AZN;2
10667034;KZT;400
10664278;AZN;3
10665672;KZT;400
10665822;AZN;7
9721646;AZN;2
9518704;KZT;650
10665290;EUR;18
10638768;AZN;2
10663648;AZN;2
10667386;AZN;2
10667848;EUR;10
10664728;EUR;18
6579502;AZN;15
8732354;BDT;125
9019292;AZN;3
10195480;AZN;5
10662922;AZN;2
10664718;AZN;2
10667194;KZT;400
10667394;AZN;2
10440812;KZT;400
10664854;EUR;20
10665228;AZN;5
10665364;EUR;10
10666430;AZN;7
10669440;KZT;400
10639546;AZN;2
10660740;EUR;10
10664806;KZT;500
10665690;AZN;7
10666702;KZT;400
10666880;EUR;18
10668604;AZN;5
10668976;AZN;3
10669300;KZT;750
