username;currency;bet_amount
10585626;EUR;108
10638428;KZT;2400
10638032;EUR;108
8379738;AZN;18
10614960;AZN;30
10633876;AZN;12
10634244;AZN;30
10634368;KZT;2400
10636666;KZT;2400
10637278;KZT;4500
10638560;EUR;60
10639314;KZT;2400
10635660;EUR;30
10637068;AZN;18
10637262;AZN;18
10637998;EUR;60
10638318;EUR;30
10613914;KZT;2400
10634810;EUR;60
10635826;EUR;60
10637748;AZN;18
10635936;AZN;42
10636026;AZN;18
10636900;AZN;18
10638484;BDT;750
10639924;EUR;108
9204604;KZT;4500
10638114;KZT;2400
10638200;AZN;18
10635126;AZN;18
1619003;AZN;18
8213154;AZN;18
10620142;KZT;2400
10633124;AZN;42
10635432;AZN;12
10636262;AZN;12
10637660;KZT;2400
10638930;KZT;12000
10635646;EUR;108
10635816;KZT;10500
10638554;AZN;30
10636952;EUR;108
10638784;AZN;12
10639522;KZT;2400
10639850;AZN;12
10640018;AZN;18
