username;currency;bet_amount
10651126;EUR;20
10651882;KZT;800
10395964;KZT;800
10594612;AZN;10
10652724;TRY;60
10654494;EUR;36
5662796;AZN;4
10653564;EUR;8
10653788;EUR;20
10653928;AZN;14
10655936;AZN;4
10622374;AZN;4
10635590;KZT;1000
10651734;EUR;36
10652094;KZT;800
10653174;EUR;8
10653322;AZN;4
10653960;AZN;4
10654786;AZN;6
10655126;EUR;14
10655908;EUR;36
10654982;EUR;40
10641650;AZN;4
10646888;AZN;14
10651058;EUR;14
10654196;AZN;6
10654882;EUR;20
8173378;AZN;8
10651958;EUR;20
10654080;EUR;36
10651702;AZN;4
10654278;AZN;4
10654330;AZN;6
10654894;AZN;4
10655722;AZN;18
10007844;AZN;20
10173420;AZN;4
7657388;AZN;18
8791260;AZN;4
10600114;AZN;4
9955968;KZT;800
10640142;EUR;20
10647946;KZT;1000
10650582;KZT;800
10651164;EUR;36
10651314;EUR;36
10652976;EUR;36
10653306;KZT;800
10654180;EUR;20
10655498;KZT;1000
10366596;KZT;3500
10439352;AZN;4
10651284;KZT;3500
10651778;EUR;14
10652280;AZN;4
10652610;AZN;4
10654950;AZN;10
10655374;KZT;1000
10655556;EUR;36
10602940;EUR;8
10651150;EUR;20
10651536;AZN;4
10652422;AZN;10
10652992;AZN;4
10653162;EUR;40
10653576;AZN;14
